id,date,message_type,message_content,media_path
664802,2025-02-02T17:24:25+00:00,text,রুলাদিয়া না,
664801,2025-02-02T17:24:21+00:00,text,Yeah,
664800,2025-02-02T17:24:16+00:00,text,Fly to the moon guysss,
664799,2025-02-02T17:24:14+00:00,text,Huh???😳,
664798,2025-02-02T17:24:08+00:00,text,Rank up,
664797,2025-02-02T17:23:55+00:00,text,😁,
664796,2025-02-02T17:23:52+00:00,text,Our rank is increasing now haha,
664795,2025-02-02T17:23:52+00:00,text,Good,
664794,2025-02-02T17:23:47+00:00,text,Hahaaaa😁,
664793,2025-02-02T17:23:46+00:00,text,ya ya,
664792,2025-02-02T17:23:45+00:00,text,Class 8 really 😅,
664791,2025-02-02T17:23:36+00:00,text,lets gooo 😎,
664790,2025-02-02T17:23:35+00:00,text,Yeah new for this season 😂,
664789,2025-02-02T17:23:28+00:00,text,Go,
664788,2025-02-02T17:23:20+00:00,text,Yes budddy just,
664787,2025-02-02T17:23:14+00:00,text,8 buddy,
664786,2025-02-02T17:23:13+00:00,text,Wow😁😂,
664785,2025-02-02T17:23:11+00:00,text,"Yess buddy,u?",
664784,2025-02-02T17:23:06+00:00,sticker,[STICKER] BAADBQADzBAAAnX7EVWHAQABoe8hwwYC,media/sticker_664784.webp
664783,2025-02-02T17:23:05+00:00,text,My condition is such that I can't do anything 😐,
664782,2025-02-02T17:23:04+00:00,text,I know is a trend haha 😄,
664781,2025-02-02T17:22:59+00:00,text,Lucky had dinner? ?,
664780,2025-02-02T17:22:52+00:00,text,1648,
664779,2025-02-02T17:22:50+00:00,text,Haha 😂,
664778,2025-02-02T17:22:40+00:00,sticker,[STICKER] BAADBQADiRIAAoisEFWwucUEi0VcHAI,media/sticker_664778.webp
664777,2025-02-02T17:22:37+00:00,text,Heheeee nice 😁❤️,
664776,2025-02-02T17:22:35+00:00,text,"Yes , junior boy senior sis love is fantastic, it's my dream also 😁",
664775,2025-02-02T17:22:34+00:00,text,1.6k brother,
664774,2025-02-02T17:22:29+00:00,sticker,[STICKER] BAADBQADqxUAAne5EFVphIn652slQAI,media/sticker_664774.webp
664773,2025-02-02T17:21:59+00:00,text,🤣 seems new here,
664772,2025-02-02T17:21:58+00:00,text,"No at all , why would I",
664771,2025-02-02T17:21:55+00:00,text,Still senior 👀,
664770,2025-02-02T17:21:50+00:00,text,😭😭😭,
664769,2025-02-02T17:21:49+00:00,sticker,[STICKER] CAADBQADmAgAAhnm6FV5LBcxUPD0jgI,media/sticker_664769.webp
664768,2025-02-02T17:21:45+00:00,text,Not sister.. he's brother 😂,
664767,2025-02-02T17:21:44+00:00,text,"do you want me to write the exact number? i thought you wl use the common sense,🥲 sorry my bad",
664766,2025-02-02T17:21:40+00:00,text,Mods are sleeping so people using whatever language they want 😂😭,
664765,2025-02-02T17:21:35+00:00,text,"So what I'm inter 2nd year age doesn't matter,",
664764,2025-02-02T17:21:29+00:00,text,U will do it definitely 😂,
664763,2025-02-02T17:21:23+00:00,text,I told him don't worry 😬,
664762,2025-02-02T17:21:04+00:00,text,who are you sister? did i tag you?,
664761,2025-02-02T17:20:59+00:00,text,"No ,need ,",
664760,2025-02-02T17:20:58+00:00,sticker,[STICKER] CAADBQADmwgAAoxz6FUgfbgQTd7x_AI,media/sticker_664760.webp
664759,2025-02-02T17:20:56+00:00,text,Need surgery to your eyes,
664758,2025-02-02T17:20:53+00:00,text,She is honurs bass 24-25 section,
664757,2025-02-02T17:20:52+00:00,text,What 🙂,
664756,2025-02-02T17:20:44+00:00,text,I will tell you later 🤫 now he is watching,
664755,2025-02-02T17:20:41+00:00,text,What 🙂,
664754,2025-02-02T17:20:39+00:00,text,Can't understand what y'all saying err😬,
664753,2025-02-02T17:20:36+00:00,text,broooo you have already made 1.8k seriously 🙁,
664752,2025-02-02T17:20:32+00:00,sticker,[STICKER] CAADBQAD4wgAAl8s8FUuqkEcRalhygI,media/sticker_664752.webp
664751,2025-02-02T17:20:28+00:00,text,What's your problem bro,
664750,2025-02-02T17:20:22+00:00,text,U say she is girl 😭😭,
664749,2025-02-02T17:20:14+00:00,text,Which class u sis??,
664748,2025-02-02T17:20:11+00:00,text,To take his place hehe 😁,
664747,2025-02-02T17:20:05+00:00,text,Ahhh C you guys boy,
664746,2025-02-02T17:20:01+00:00,text,After this I want to go now 😂😂😂,
664745,2025-02-02T17:19:56+00:00,text,Why,
664744,2025-02-02T17:19:56+00:00,text,I'm not gay bro😭😭,
